"id","startDate","endDate","boat","product","departurePort","arrivalPort","tripStatus","availableSpaces","bookedSpaces","optionSpaces","price","parentPrice"
28446,"2025-05-31","2025-06-05","Anne Bonny","Komodo","Labuan Bajo","Labuan Bajo","Confirmed",0,0,0,"1800.00","2250.00"
13557,"2025-06-01","2025-06-08","Horizon-3 Dive Safari","Best Of The Central Atolls (Male-Ari-Vaavu-Male)","Male","Male","Confirmed",1,22,0,"1499.00","2998.00"
26669,"2025-06-01","2025-06-06","Jelajahi Laut","Best of Komodo 6D/5N","Labuan Bajo","Labuan Bajo","Confirmed",0,10,1,"2014.50","2370.00"
13085,"2025-06-03","2025-06-13","Black Pearl","Palau Spawning Special 10 nights","Malakal","Malakal","Confirmed",2,17,3,"5660.00",""
22923,"2025-06-03","2025-06-10","Indo Master","Komodo National Park","Labuan Bajo","Labuan Bajo","Confirmed",0,16,0,"0.00",""
33687,"2025-06-03","2025-06-08","Lagoon 380","Classic 6 days / 5 nights cruise","Nosy Be","Nosy Be","Not confirmed",8,0,0,"",""
9574,"2025-06-05","2025-06-11","Philippine Siren","Tubbataha National Park","Puerto Princesa","Puerto Princesa","Confirmed",0,16,0,"4350.00",""
26971,"2025-06-05","2025-06-07","Nusantara","Best of Komodo 3D/2N","Labuan Bajo","Labuan Bajo","Confirmed",0,11,1,"630.00",""
6238,"2025-06-07","2025-06-18","Pacific Master","Bikini Atoll","Kwajalein","Kwajalein","Confirmed",1,15,0,"0.00",""
18302,"2025-06-07","2025-06-14","Blue Melody","Brothers, Daedalus & Elphinstone","Port Ghalib","Hurghada","Confirmed",26,0,0,"",""
11728,"2025-06-08","2025-06-19","Calico Jack","Raja Ampat Full Park","Sorong","Sorong","Confirmed",0,10,0,"4158.00","4620.00"
13558,"2025-06-08","2025-06-15","Horizon-3 Dive Safari","Best Of The Central Atolls (Male-Ari-Vaavu-Male)","Male","Male","Confirmed",0,22,0,"1499.00","2998.00"
40524,"2025-06-08","2025-06-13","Black Pearl","Best of Palau Experience 5 nights","Malakal","Malakal","Confirmed",2,9,3,"2830.00",""
22382,"2025-06-08","2025-06-18","Horizon-2 Surf Safari","Central Maldives - Male - Thaa - Dhaalu - Meemu - Laamu - Male","Male","Male","Confirmed",5,7,0,"2962.00",""
34908,"2025-06-08","2025-06-17","Jelajahi Laut","Komodo - Bali Whalesharks 10D/9N","Labuan Bajo","Bali","Confirmed",0,12,0,"",""
22518,"2025-06-08","2025-06-19","Fenides","11N/12D West and Central Komodo (Labuan Bajo - Labuan Bajo)","Labuan Bajo","Labuan Bajo","Not confirmed",11,0,0,"",""
6174,"2025-06-09","2025-06-16","Galapagos Master","Master the Galapagos","Port of San Cristobal","Port of San Cristobal","Confirmed",1,15,0,"7140.00",""
26934,"2025-06-09","2025-06-12","Nusantara","Best of Komodo 4D/3N","Labuan Bajo","Labuan Bajo","Confirmed",1,8,3,"840.00",""
6907,"2025-06-10","2025-06-20","Solomons Master","Tec. Special","Honiara","Honiara","Confirmed",4,8,0,"6350.00",""
28447,"2025-06-10","2025-06-18","Anne Bonny","Komodо","Labuan Bajo","Labuan Bajo","Confirmed",0,9,0,"",""
33688,"2025-06-10","2025-06-15","Lagoon 380","Classic 6 days / 5 nights cruise","Nosy Be","Nosy Be","Not confirmed",8,0,0,"",""
22924,"2025-06-11","2025-06-18","Indo Master","Komodo National Park","Labuan Bajo","Labuan Bajo","Confirmed",6,12,0,"0.00",""
6812,"2025-06-12","2025-06-25","Philippine Siren","Tubbataha & More","Puerto Princesa","Mactan","Confirmed",0,14,0,"7865.00",""
15671,"2025-06-12","2025-06-19","Heaven Saphir","Daedalus Reef – St. John's - Elphinstone","Port Ghalib","Port Ghalib","Not confirmed",20,0,0,"1620.00",""
32536,"2025-06-12","2025-06-16","The Junk","Southern Thailand","Chalong Pier","Chalong Pier","Confirmed",11,6,1,"640.00","800.00"
